make_model,body_type,price,km,hp,Type,Upholstery,Displacement,Fuel,Comfort_Convenience,Extras,Safety_Security,First_Registration,Body_Color,door_numbers,seat_numbers,Gearing_Type,consumption_comb,consumption_city,co2_emission
Opel Corsa,Compact,8599,36444,66,Used,"Cloth, Black",1.398,BENZINE,7,1,14,2018.0,Black,5.0,5,Manual,5.2,6.8,120
Audi A1,Compact,26040,0,85,New,"Cloth, Black",0.999,BENZINE,15,3,13,2019.0,White,5.0,4,Automatic,4.8,5.9,110
Audi A3,Station wagon,19950,29900,85,Used,Black,1.598,DIESEL,14,5,13,2018.0,Blue,5.0,5,Manual,4.2,4.7,109
Audi A1,Sedans,20990,16974,70,Used,Other,0.999,BENZINE,19,1,69,2017.0,Black,4.0,4,Automatic,4.4,5.0,102
Opel Corsa,Compact,12950,19164,66,Used,"Cloth, Black",1.398,BENZINE,14,2,13,2018.0,Grey,5.0,5,Automatic,6.3,7.8,143
Opel Corsa,Compact,10979,10,51,Pre-registered,"Cloth, Black",1.229,BENZINE,5,1,12,2019.0,White,5.0,5,Manual,5.5,7.2,129
Audi A3,Sedans,15600,50700,81,Used,"Cloth, Black",1.598,DIESEL,16,4,18,2016.0,White,4.0,5,Manual,3.8,4.5,99
Renault Espace,Station wagon,23950,56000,118,Used,Grey,1.598,DIESEL,15,2,13,2016.0,Grey,5.0,7,Automatic,4.6,5.0,120
Audi A3,Sedans,26800,1,85,Pre-registered,Other,1.598,DIESEL,14,3,20,2019.0,White,4.0,5,Automatic,3.9,4.2,103
Renault Espace,Sedans,48498,3000,147,Demonstration,Full leather,1.997,DIESEL,24,2,19,2019.0,Black,4.0,5,Automatic,5.3,6.2,139
Audi A1,Compact,25490,2500,85,Used,"Cloth, Black",0.999,BENZINE,13,1,12,2019.0,Grey,5.0,4,Automatic,4.8,5.9,110
Opel Insignia,Station wagon,30800,11300,191,Used,Other,1.998,BENZINE,19,1,69,2019.0,Red,5.0,5,Automatic,8.0,11.0,197
Audi A1,Sedans,16321,22212,66,Used,"Cloth, Black",1.422,DIESEL,17,4,14,2018.0,Red,4.0,5,Manual,3.9,4.5,102
Opel Astra,Compact,15974,0,81,New,Other,1.598,DIESEL,19,1,69,2019.0,White,5.0,5,Manual,3.0,4.0,95
Audi A3,Sedans,17389,61109,81,Used,"Cloth, Black",1.598,DIESEL,15,2,13,2016.0,Black,4.0,5,Automatic,3.8,4.5,101
Renault Clio,Station wagon,8490,49178,54,Used,"Cloth, Grey",1.149,BENZINE,9,3,7,2016.0,White,5.0,5,Manual,5.4,6.8,126
