iter	RMSE
0	6798.437434
1	6274.849323
2	5753.757978
3	5347.24267
4	4938.426666
5	4610.437358
6	4287.28539
7	4005.625953
8	3752.978793
9	3524.721685
10	3326.491593
11	3170.288535
12	3006.915966
13	2862.204471
14	2745.537977
15	2657.290744
16	2556.18402
17	2468.750839
18	2382.758811
19	2313.361439
20	2242.824475
21	2196.879004
22	2148.120389
23	2102.786332
24	2065.833822
25	2032.764134
26	2002.893993
27	1972.881469
28	1947.544683
29	1915.51328
30	1889.993575
31	1864.70866
32	1844.537096
33	1829.216861
34	1811.448575
35	1799.489818
36	1787.514266
37	1772.707111
38	1759.653177
39	1747.008878
40	1736.190772
41	1722.628749
42	1714.144666
43	1704.715049
44	1693.655165
45	1685.965115
46	1673.281308
47	1663.31831
48	1652.861583
49	1642.510567
50	1633.639524
51	1620.912515
52	1614.311185
53	1603.655622
54	1596.501693
55	1592.331562
56	1581.79594
57	1576.986018
58	1569.738345
59	1562.566623
60	1554.82736
61	1547.94809
62	1539.665245
63	1534.999195
64	1530.018644
65	1524.341028
66	1518.154188
67	1512.0894
68	1502.406614
69	1496.971223
70	1495.220953
71	1492.059561
72	1485.256179
73	1482.14749
74	1477.364116
75	1473.530373
76	1467.241629
77	1462.865988
78	1456.8219
79	1451.541586
80	1448.11261
81	1445.665125
82	1440.312199
83	1435.19844
84	1431.22282
85	1424.296139
86	1422.13516
87	1417.119259
88	1415.538526
89	1409.149635
90	1405.079319
91	1395.399216
92	1392.305651
93	1388.900209
94	1386.049863
95	1381.574374
96	1377.450241
97	1372.535686
98	1368.059506
99	1363.977943
