iter	Passed	Remaining
0	50	5035
1	93	4570
2	136	4413
3	182	4371
4	225	4282
5	278	4366
6	328	4362
7	377	4346
8	430	4348
9	481	4332
10	523	4237
11	569	4175
12	612	4102
13	656	4033
14	699	3965
15	741	3895
16	785	3833
17	829	3778
18	889	3793
19	933	3732
20	984	3703
21	1027	3644
22	1070	3583
23	1113	3524
24	1157	3473
25	1199	3415
26	1245	3367
27	1290	3318
28	1334	3268
29	1378	3216
30	1423	3168
31	1465	3115
32	1507	3061
33	1551	3011
34	1594	2961
35	1638	2912
36	1685	2870
37	1732	2825
38	1788	2796
39	1835	2752
40	1878	2703
41	1921	2653
42	1963	2603
43	2005	2552
44	2047	2502
45	2097	2462
46	2140	2414
47	2186	2368
48	2229	2320
49	2277	2277
50	2319	2228
51	2363	2181
52	2406	2134
53	2449	2086
54	2492	2039
55	2547	2001
56	2594	1956
57	2637	1909
58	2683	1864
59	2726	1817
60	2770	1771
61	2812	1724
62	2855	1676
63	2898	1630
64	2947	1586
65	2990	1540
66	3047	1500
67	3089	1453
68	3135	1408
69	3178	1362
70	3219	1315
71	3261	1268
72	3304	1222
73	3346	1175
74	3391	1130
75	3435	1085
76	3479	1039
77	3522	993
78	3564	947
79	3609	902
80	3653	856
81	3696	811
82	3743	766
83	3785	721
84	3828	675
85	3874	630
86	3917	585
87	3961	540
88	4005	495
89	4050	450
90	4093	404
91	4136	359
92	4178	314
93	4220	269
94	4262	224
95	4312	179
96	4360	134
97	4410	90
98	4455	45
99	4508	0
