iter	Passed	Remaining
0	1	1178
1	2	1044
2	2	984
3	3	948
4	4	932
5	5	918
6	6	912
7	7	903
8	8	897
9	9	891
10	9	889
11	10	887
12	11	882
13	12	880
14	15	1015
15	16	1004
16	17	995
17	18	985
18	18	975
19	19	967
20	20	960
21	21	954
22	22	948
23	23	942
24	24	938
25	24	933
26	25	928
27	26	923
28	27	921
29	29	957
30	35	1100
31	36	1090
32	38	1133
33	39	1125
34	40	1115
35	41	1106
36	42	1098
37	49	1242
38	49	1231
39	51	1224
40	51	1214
41	52	1205
42	53	1196
43	54	1187
44	55	1178
45	56	1170
46	58	1191
47	59	1183
48	62	1208
49	63	1201
50	64	1193
51	65	1185
52	65	1177
53	66	1170
54	67	1163
55	68	1156
56	69	1149
57	70	1142
58	72	1149
59	75	1183
60	77	1198
61	82	1251
62	83	1244
63	84	1236
64	85	1230
65	86	1226
66	87	1220
67	88	1213
68	89	1206
69	90	1199
70	91	1192
71	93	1210
72	94	1204
73	95	1198
74	96	1192
75	97	1186
76	98	1179
77	99	1174
78	100	1168
79	101	1162
80	101	1156
81	102	1151
82	103	1140
83	106	1161
84	107	1156
85	108	1152
86	109	1147
87	110	1142
88	111	1138
89	112	1133
90	112	1128
91	113	1123
92	114	1119
93	115	1115
94	116	1110
95	117	1106
96	118	1101
97	119	1097
98	125	1145
99	126	1141
100	127	1136
101	128	1131
102	129	1126
103	130	1122
104	131	1117
105	132	1113
106	132	1109
107	133	1105
108	134	1101
109	135	1097
110	136	1093
111	139	1102
112	140	1099
113	140	1095
114	141	1091
115	142	1087
116	143	1081
117	144	1077
118	145	1074
119	145	1070
120	146	1066
121	147	1061
122	148	1057
123	149	1054
124	150	1050
125	151	1047
126	151	1042
127	152	1039
128	155	1051
129	156	1048
130	157	1045
131	158	1044
132	159	1040
133	160	1037
134	161	1034
135	162	1031
136	163	1028
137	164	1025
138	165	1022
139	165	1019
140	166	1016
141	167	1011
142	168	1009
143	169	1008
144	171	1008
145	172	1006
146	172	1003
147	173	1000
148	175	1002
149	176	999
150	177	996
151	178	993
152	180	1000
153	181	997
154	182	994
155	183	992
156	184	988
157	185	986
158	185	983
159	186	980
160	187	975
161	188	972
162	188	969
163	189	967
164	193	979
165	196	985
166	197	982
167	198	981
168	199	978
169	200	976
170	200	974
171	201	971
172	202	968
173	203	966
174	204	963
175	205	960
176	206	957
177	206	955
178	207	952
179	208	949
180	209	947
181	212	954
182	213	954
183	214	951
184	215	949
185	216	947
186	217	944
187	218	942
188	228	981
189	229	979
190	230	976
191	231	974
192	232	971
193	233	969
194	234	966
195	235	964
196	235	961
197	243	984
198	244	985
199	248	992
200	249	990
201	250	988
202	251	988
203	252	986
204	253	983
205	254	980
206	255	978
207	256	976
208	265	1003
209	265	1000
210	266	998
211	267	995
212	268	992
213	269	990
214	270	987
215	271	985
216	272	982
217	273	979
218	275	983
219	276	981
220	278	980
221	278	977
222	279	975
223	280	973
224	281	970
225	282	967
226	283	965
227	284	962
228	285	960
229	286	958
230	287	955
231	288	953
232	288	951
233	291	953
234	292	951
235	293	951
236	294	948
237	295	946
238	296	944
239	297	941
240	298	939
241	299	936
242	300	934
243	301	932
244	301	930
245	302	928
246	303	925
247	304	923
248	307	926
249	308	924
250	308	922
251	309	919
252	310	917
253	311	915
254	312	913
255	313	910
256	314	908
257	315	906
258	316	905
259	317	903
260	319	903
261	340	959
262	342	959
263	343	957
264	344	955
265	345	952
266	398	1093
267	399	1090
268	400	1087
269	401	1084
270	401	1081
271	404	1083
272	407	1083
273	408	1082
274	409	1080
275	411	1078
276	412	1075
277	413	1072
278	414	1069
279	414	1066
280	415	1063
281	416	1060
282	417	1057
283	418	1054
284	430	1080
285	431	1077
286	432	1074
287	433	1071
288	434	1068
289	437	1070
290	438	1067
291	439	1064
292	440	1061
293	440	1058
294	441	1055
295	442	1053
296	443	1050
297	445	1049
298	446	1046
299	447	1043
300	448	1041
301	449	1038
302	450	1035
303	452	1036
304	454	1034
305	454	1031
306	455	1028
307	456	1026
308	457	1023
309	458	1020
310	459	1017
311	460	1015
312	461	1012
313	462	1009
314	463	1007
315	464	1004
316	464	1001
317	465	999
318	468	1000
319	469	998
320	470	995
321	471	992
322	472	990
323	473	987
324	474	984
325	475	982
326	476	979
327	476	977
328	477	974
329	479	973
330	480	970
331	481	967
332	483	968
333	484	966
334	485	964
335	486	961
336	487	958
337	488	956
338	489	953
339	490	951
340	490	948
341	491	946
342	492	943
343	493	941
344	494	938
345	495	936
346	496	933
347	497	931
