,make_model,body_type,price,km,hp,Type,Upholstery,Displacement,Fuel,Comfort_Convenience,Extras,Safety_Security,First_Registration,Body_Color,door_numbers,seat_numbers,Gearing_Type,consumption_comb,consumption_city,co2_emission
0,AudiA1,Sedans,15770,56013,66,Used,Cloth-Black,1.422,DIESEL,16,3,14,2016.0,Black,4.0,5,Automatic,3.8,4.3,99
1,AudiA1,Sedans,14500,80000,141,Used,Cloth-Grey,1.798,BENZINE,9,4,15,2017.0,Red,4.0,4,Automatic,5.6,7.1,129
2,AudiA1,Sedans,14640,83450,85,Used,Cloth-Black,1.598,DIESEL,13,2,12,2016.0,Black,4.0,4,Automatic,3.8,4.4,99
3,AudiA1,Sedans,14500,73000,66,Used,Other,1.422,DIESEL,16,3,14,2016.0,Brown,4.0,4,Automatic,3.8,4.3,99
4,AudiA1,Sedans,15090,63668,85,Used,Partleather-Black,1.598,DIESEL,17,4,14,2016.0,White,4.0,5,Automatic,3.5,4.3,92
5,AudiA1,Stationwagon,16422,62111,85,Used,Partleather-Black,1.598,DIESEL,15,4,13,2016.0,White,5.0,5,Automatic,3.7,4.3,98
6,AudiA1,Compact,14480,14986,66,Used,Cloth-Black,1.422,DIESEL,10,1,12,2016.0,Red,5.0,5,Automatic,3.7,4.2,97
7,AudiA1,Sedans,16700,57000,85,Used,Cloth-Grey,1.598,DIESEL,2,1,9,2016.0,Grey,4.0,4,Automatic,3.7,4.3,97
8,AudiA1,Sedans,17990,16103,70,Used,Other,0.999,BENZINE,19,1,69,2017.0,White,4.0,4,Automatic,4.4,5.0,102
9,AudiA1,Sedans,18500,11300,85,Used,Cloth-Black,1.598,DIESEL,3,2,13,2018.0,Black,4.0,4,Automatic,4.0,4.6,105
10,AudiA1,Sedans,17990,26415,92,Used,Cloth-Black,1.395,BENZINE,16,2,13,2016.0,Silver,4.0,5,Automatic,4.9,6.2,112
11,AudiA1,Sedans,18380,31600,92,Used,Partleather-Black,1.395,BENZINE,17,6,14,2016.0,White,4.0,5,Automatic,4.9,6.2,112
12,AudiA1,Sedans,18399,45764,112,Used,Other,1.395,BENZINE,11,3,13,2016.0,Grey,4.0,4,Automatic,4.7,5.8,109
13,AudiA1,Sedans,17990,34914,70,Used,Cloth-Black,0.999,BENZINE,16,3,14,2016.0,Black,4.0,4,Automatic,4.2,5.0,99
14,AudiA1,Sedans,18700,27000,85,Employee'scar,Cloth-Grey,1.598,DIESEL,11,1,12,2016.0,Grey,4.0,4,Automatic,3.7,4.3,97
15,AudiA1,Sedans,18900,9752,85,Used,Other,1.598,DIESEL,3,3,8,2018.0,Blue,4.0,4,Automatic,3.5,4.3,92
16,AudiA1,Sedans,18500,28408,66,Used,Cloth-Black,1.422,DIESEL,12,2,12,2017.0,White,4.0,5,Automatic,3.8,4.3,99
17,AudiA1,Compact,18400,50280,70,Used,Cloth-Grey,0.999,BENZINE,10,1,12,2016.0,Black,5.0,5,Automatic,4.5,5.5,103
18,AudiA1,Sedans,18500,13406,85,Used,Cloth-Other,1.598,DIESEL,11,4,12,2018.0,Black,4.0,5,Automatic,3.8,4.6,99
19,AudiA1,Sedans,18500,51160,85,Used,Cloth-Black,1.598,DIESEL,15,4,20,2017.0,White,4.0,5,Automatic,4.0,4.6,105
20,AudiA1,Sedans,18500,15850,92,Used,Cloth-Black,1.395,BENZINE,18,3,16,2016.0,Black,4.0,5,Automatic,4.9,6.2,112
21,AudiA1,Sedans,18900,17000,92,Used,Other,1.395,BENZINE,15,5,16,2016.0,Grey,4.0,4,Automatic,4.9,6.2,112
22,AudiA1,Sedans,18850,9077,85,Used,Fullleather-Black,1.598,DIESEL,3,1,9,2018.0,Black,4.0,4,Automatic,3.7,4.3,97
23,AudiA1,Sedans,18500,3000,70,Used,Cloth-White,0.999,BENZINE,14,2,17,2018.0,White,4.0,4,Automatic,4.4,5.4,102
24,AudiA1,Sedans,8999,115000,70,Used,Other,0.999,BENZINE,5,2,14,2016.0,White,4.0,4,Manual,4.2,5.0,97
25,AudiA1,Compact,11444,84029,70,Used,Cloth-Black,0.999,BENZINE,15,2,13,2016.0,Blue,5.0,4,Manual,4.2,5.0,97
26,AudiA1,Sedans,11300,67800,70,Used,Cloth-Grey,0.999,BENZINE,5,1,14,2016.0,Black,4.0,5,Manual,4.2,5.0,97
27,AudiA1,Sedans,18900,14556,66,Used,Other,1.422,DIESEL,2,1,5,2018.0,White,4.0,5,Automatic,4.3,3.8,99
28,AudiA1,Compact,11290,22000,70,Used,Black,0.999,BENZINE,5,1,11,2016.0,Black,5.0,4,Manual,4.4,5.2,102
29,AudiA1,Compact,11290,38400,66,Used,Other,1.422,DIESEL,19,1,69,2016.0,Black,5.0,5,Manual,3.0,3.0,102
30,AudiA1,Sedans,11440,83307,66,Used,Cloth-Black,1.422,DIESEL,9,2,13,2016.0,Black,4.0,4,Manual,3.6,4.0,95
31,AudiA1,Compact,11445,39668,70,Used,Cloth-Black,0.999,BENZINE,5,2,12,2016.0,Brown,5.0,4,Manual,4.4,5.2,104
32,AudiA1,Sedans,11700,30353,66,Used,Cloth-Grey,1.422,DIESEL,7,1,14,2016.0,Black,4.0,5,Manual,3.7,3.9,97
33,AudiA1,Sedans,11900,126000,66,Used,Other,1.422,DIESEL,12,1,13,2016.0,White,4.0,4,Manual,3.7,4.2,97
34,AudiA1,Compact,11949,57500,70,Used,Cloth-Black,0.999,BENZINE,5,1,12,2016.0,White,5.0,4,Manual,4.4,5.2,104
35,AudiA1,Sedans,11890,73945,70,Used,Cloth,0.999,BENZINE,8,1,12,2016.0,White,4.0,5,Manual,4.4,5.2,104
36,AudiA1,Sedans,11600,96000,66,Used,Other,1.422,DIESEL,6,1,13,2017.0,Red,4.0,5,Manual,3.7,3.9,97
37,AudiA1,Sedans,11900,43120,60,Used,Other,0.999,BENZINE,4,3,13,2016.0,Red,4.0,4,Manual,4.2,5.0,97
38,AudiA1,Compact,11630,110715,66,Used,Cloth,1.422,DIESEL,11,2,9,2016.0,Silver,5.0,5,Manual,3.9,4.5,102
39,AudiA1,Compact,11880,31971,60,Used,Cloth-Black,0.999,BENZINE,6,1,12,2016.0,Black,5.0,4,Manual,4.4,5.2,102
40,AudiA1,Compact,11800,94800,66,Used,Cloth-Black,1.422,DIESEL,13,1,13,2016.0,Grey,5.0,4,Manual,3.4,3.9,91
41,AudiA1,Compact,11850,85000,66,Used,Cloth-Black,1.422,DIESEL,13,1,13,2016.0,Grey,5.0,4,Manual,3.4,3.9,91
42,AudiA1,Compact,11569,111265,66,Used,Cloth,1.422,DIESEL,10,1,9,2016.0,Black,5.0,5,Manual,3.9,4.5,102
43,AudiA1,Sedans,11490,44120,66,Used,Cloth-Black,1.422,DIESEL,8,1,12,2016.0,Black,4.0,5,Manual,3.6,4.1,94
44,AudiA1,Sedans,11490,97976,70,Used,Cloth-Black,0.999,BENZINE,8,2,12,2016.0,Black,4.0,4,Manual,4.2,5.0,99
45,AudiA1,Sedans,11500,106000,66,Used,Other,1.422,DIESEL,12,1,10,2016.0,Grey,4.0,4,Manual,3.7,4.2,97
46,AudiA1,Sedans,11790,60000,85,Used,Other,1.598,DIESEL,5,1,13,2016.0,Black,4.0,5,Manual,3.7,4.3,97
47,AudiA1,Compact,11490,58000,60,Used,Partleather-Black,0.999,BENZINE,9,3,11,2016.0,Black,5.0,4,Manual,4.4,5.2,102
48,AudiA1,Compact,11470,57454,60,Used,Cloth-Black,0.999,BENZINE,11,3,13,2016.0,Black,5.0,4,Manual,4.4,5.2,104
49,AudiA1,Compact,11480,94055,66,Used,Cloth-Grey,1.422,DIESEL,12,2,10,2016.0,White,5.0,4,Manual,3.9,4.5,102
50,AudiA1,Sedans,11180,56000,70,Used,Cloth-Black,0.999,BENZINE,4,1,12,2016.0,Black,4.0,4,Manual,4.2,5.0,97
51,AudiA1,Sedans,11450,27600,70,Used,Other,0.999,BENZINE,5,3,14,2016.0,White,4.0,4,Manual,4.2,5.0,97
52,AudiA1,Compact,11100,111670,85,Used,Other,1.598,DIESEL,19,1,69,2016.0,Black,5.0,5,Manual,3.0,4.0,97
53,AudiA1,Compact,10900,30500,66,Used,Cloth-Black,1.422,DIESEL,7,1,12,2016.0,Black,5.0,4,Manual,3.8,4.2,99
54,AudiA1,Compact,10999,69500,70,Used,Other-Black,0.999,BENZINE,7,1,10,2017.0,Black,5.0,4,Manual,4.4,5.2,102
55,AudiA1,Compact,10900,43500,60,Used,Cloth-Black,0.999,BENZINE,4,1,11,2016.0,White,5.0,4,Manual,4.2,5.0,97
56,AudiA1,Sedans,10950,45696,70,Used,Cloth-Black,0.999,BENZINE,10,1,12,2016.0,Black,4.0,5,Manual,4.4,5.2,102
