,Unnamed: 0,make_model,body_type,price,km,hp,Type,Upholstery,Displacement,Fuel,Comfort_Convenience,Extras,Safety_Security,First_Registration,Body_Color,door_numbers,seat_numbers,Gearing_Type,consumption_comb,consumption_city,co2_emission
0,0,Audi A1,Sedans,15770,56013,66,Used,_Black,1.422,DIESEL,16,3,14,2016.0,Black_,4,5,Automatic,3.8,4.3,99
1,1,Audi A1,Sedans,14500,80000,141,Used,_Grey,1.798,BENZINE,9,4,15,2017.0,Red,4,4,Automatic,5.6,7.1,129
2,2,Audi A1,Sedans,14640,83450,85,Used,_Black,1.598,DIESEL,13,2,12,2016.0,Black_,4,4,Automatic,3.8,4.4,99
3,3,Audi A1,Sedans,14500,73000,66,Used,_Other,1.422,DIESEL,16,3,14,2016.0,Brown_,4,4,Automatic,3.8,4.3,99
4,4,Audi A1,Sedans,15090,63668,85,Used,_Black,1.598,DIESEL,17,4,14,2016.0,White_,4,5,Automatic,3.5,4.3,92
5,5,Audi A1,Station wagon,16422,62111,85,Used,_Black,1.598,DIESEL,15,4,13,2016.0,White_,5,5,Automatic,3.7,4.3,98
6,6,Audi A1,Compact,14480,14986,66,Used,_Black,1.422,DIESEL,10,1,12,2016.0,Red,5,5,Automatic,3.7,4.2,97
7,7,Audi A1,Sedans,16700,57000,85,Used,_Grey,1.598,DIESEL,2,1,9,2016.0,Grey_,4,4,Automatic,3.7,4.3,97
8,8,Audi A1,Sedans,17990,16103,70,Used,_Other,0.999,BENZINE,19,1,13,2017.0,White_,4,4,Automatic,4.4,5.0,102
9,9,Audi A1,Sedans,18500,11300,85,Used,_Black,1.598,DIESEL,3,2,13,2018.0,Black_,4,4,Automatic,4.0,4.6,105
10,10,Audi A1,Sedans,17990,26415,92,Used,_Black,1.395,BENZINE,16,2,13,2016.0,Silver,4,5,Automatic,4.9,6.2,112
11,11,Audi A1,Sedans,18380,31600,92,Used,_Black,1.395,BENZINE,17,6,14,2016.0,White_,4,5,Automatic,4.9,6.2,112
12,12,Audi A1,Sedans,18399,45764,112,Used,_Other,1.395,BENZINE,11,3,13,2016.0,Grey_,4,4,Automatic,4.7,5.8,109
13,13,Audi A1,Sedans,17990,34914,70,Used,_Black,0.999,BENZINE,16,3,14,2016.0,Black_,4,4,Automatic,4.2,5.0,99
14,14,Audi A1,Sedans,18700,27000,85,Employee's car,_Grey,1.598,DIESEL,11,1,12,2016.0,Grey_,4,4,Automatic,3.7,4.3,97
15,15,Audi A1,Sedans,18900,9752,85,Used,_Other,1.598,DIESEL,3,3,8,2018.0,Blue_,4,4,Automatic,3.5,4.3,92
16,16,Audi A1,Sedans,18500,28408,66,Used,_Black,1.422,DIESEL,12,2,12,2017.0,White_,4,5,Automatic,3.8,4.3,99
17,17,Audi A1,Compact,18400,50280,70,Used,_Grey,0.999,BENZINE,10,1,12,2016.0,Black_,5,5,Automatic,4.5,5.5,103
18,18,Audi A1,Sedans,18500,13406,85,Used,_Other,1.598,DIESEL,11,4,12,2018.0,Black_,4,5,Automatic,3.8,4.6,99
19,19,Audi A1,Sedans,18500,51160,85,Used,_Black,1.598,DIESEL,15,4,20,2017.0,White_,4,5,Automatic,4.0,4.6,105
20,20,Audi A1,Sedans,18500,15850,92,Used,_Black,1.395,BENZINE,18,3,16,2016.0,Black_,4,5,Automatic,4.9,6.2,112
21,21,Audi A1,Sedans,18900,17000,92,Used,_Other,1.395,BENZINE,15,5,16,2016.0,Grey_,4,4,Automatic,4.9,6.2,112
22,22,Audi A1,Sedans,18850,9077,85,Used,_Black,1.598,DIESEL,3,1,9,2018.0,Black_,4,4,Automatic,3.7,4.3,97
23,23,Audi A1,Sedans,18500,3000,70,Used,_White,0.999,BENZINE,14,2,17,2018.0,White_,4,4,Automatic,4.4,5.4,102
24,24,Audi A1,Sedans,8999,115000,70,Used,_Other,0.999,BENZINE,5,2,14,2016.0,White_,4,4,Manual,4.2,5.0,97
25,25,Audi A1,Compact,11444,84029,70,Used,_Black,0.999,BENZINE,15,2,13,2016.0,Blue_,5,4,Manual,4.2,5.0,97
26,26,Audi A1,Sedans,11300,67800,70,Used,_Grey,0.999,BENZINE,5,1,14,2016.0,Black_,4,5,Manual,4.2,5.0,97
27,27,Audi A1,Sedans,18900,14556,66,Used,_Other,1.422,DIESEL,2,1,5,2018.0,White_,4,5,Automatic,4.3,3.8,99
28,28,Audi A1,Compact,11290,22000,70,Used,_Black,0.999,BENZINE,5,1,11,2016.0,Black_,5,4,Manual,4.4,5.2,102
29,29,Audi A1,Compact,11290,38400,66,Used,_Other,1.422,DIESEL,19,1,13,2016.0,Black_,5,5,Manual,3.0,3.0,102
30,30,Audi A1,Sedans,11440,83307,66,Used,_Black,1.422,DIESEL,9,2,13,2016.0,Black_,4,4,Manual,3.6,4.0,95
31,31,Audi A1,Compact,11445,39668,70,Used,_Black,0.999,BENZINE,5,2,12,2016.0,Brown_,5,4,Manual,4.4,5.2,104
32,32,Audi A1,Sedans,11700,30353,66,Used,_Grey,1.422,DIESEL,7,1,14,2016.0,Black_,4,5,Manual,3.7,3.9,97
33,33,Audi A1,Sedans,11900,126000,66,Used,_Other,1.422,DIESEL,12,1,13,2016.0,White_,4,4,Manual,3.7,4.2,97
34,34,Audi A1,Compact,11949,57500,70,Used,_Black,0.999,BENZINE,5,1,12,2016.0,White_,5,4,Manual,4.4,5.2,104
35,35,Audi A1,Sedans,11890,73945,70,Used,Cloth,0.999,BENZINE,8,1,12,2016.0,White_,4,5,Manual,4.4,5.2,104
36,36,Audi A1,Sedans,11600,96000,66,Used,_Other,1.422,DIESEL,6,1,13,2017.0,Red,4,5,Manual,3.7,3.9,97
37,37,Audi A1,Sedans,11900,43120,60,Used,_Other,0.999,BENZINE,4,3,13,2016.0,Red,4,4,Manual,4.2,5.0,97
38,38,Audi A1,Compact,11630,110715,66,Used,Cloth,1.422,DIESEL,11,2,9,2016.0,Silver,5,5,Manual,3.9,4.5,102
39,39,Audi A1,Compact,11880,31971,60,Used,_Black,0.999,BENZINE,6,1,12,2016.0,Black_,5,4,Manual,4.4,5.2,102
40,40,Audi A1,Compact,11800,94800,66,Used,_Black,1.422,DIESEL,13,1,13,2016.0,Grey_,5,4,Manual,3.4,3.9,91
41,41,Audi A1,Compact,11850,85000,66,Used,_Black,1.422,DIESEL,13,1,13,2016.0,Grey_,5,4,Manual,3.4,3.9,91
42,42,Audi A1,Compact,11569,111265,66,Used,Cloth,1.422,DIESEL,10,1,9,2016.0,Black_,5,5,Manual,3.9,4.5,102
43,43,Audi A1,Sedans,11490,44120,66,Used,_Black,1.422,DIESEL,8,1,12,2016.0,Black_,4,5,Manual,3.6,4.1,94
44,44,Audi A1,Sedans,11490,97976,70,Used,_Black,0.999,BENZINE,8,2,12,2016.0,Black_,4,4,Manual,4.2,5.0,99
45,45,Audi A1,Sedans,11500,106000,66,Used,_Other,1.422,DIESEL,12,1,10,2016.0,Grey_,4,4,Manual,3.7,4.2,97
46,46,Audi A1,Sedans,11790,60000,85,Used,_Other,1.598,DIESEL,5,1,13,2016.0,Black_,4,5,Manual,3.7,4.3,97
47,47,Audi A1,Compact,11490,58000,60,Used,_Black,0.999,BENZINE,9,3,11,2016.0,Black_,5,4,Manual,4.4,5.2,102
48,48,Audi A1,Compact,11470,57454,60,Used,_Black,0.999,BENZINE,11,3,13,2016.0,Black_,5,4,Manual,4.4,5.2,104
49,49,Audi A1,Compact,11480,94055,66,Used,_Grey,1.422,DIESEL,12,2,10,2016.0,White_,5,4,Manual,3.9,4.5,102
50,50,Audi A1,Sedans,11180,56000,70,Used,_Black,0.999,BENZINE,4,1,12,2016.0,Black_,4,4,Manual,4.2,5.0,97
51,51,Audi A1,Sedans,11450,27600,70,Used,_Other,0.999,BENZINE,5,3,14,2016.0,White_,4,4,Manual,4.2,5.0,97
52,52,Audi A1,Compact,11100,111670,85,Used,_Other,1.598,DIESEL,19,1,13,2016.0,Black_,5,5,Manual,3.0,4.0,97
53,53,Audi A1,Compact,10900,30500,66,Used,_Black,1.422,DIESEL,7,1,12,2016.0,Black_,5,4,Manual,3.8,4.2,99
54,54,Audi A1,Compact,10999,69500,70,Used,_Other,0.999,BENZINE,7,1,10,2017.0,Black_,5,4,Manual,4.4,5.2,102
55,55,Audi A1,Compact,10900,43500,60,Used,_Black,0.999,BENZINE,4,1,11,2016.0,White_,5,4,Manual,4.2,5.0,97
56,56,Audi A1,Sedans,10950,45696,70,Used,_Black,0.999,BENZINE,10,1,12,2016.0,Black_,4,5,Manual,4.4,5.2,102
57,57,Audi A1,Sedans,10800,34000,66,Used,Part leather,1.422,DIESEL,6,3,14,2016.0,Blue_,4,4,Manual,3.8,4.4,99
58,58,Audi A1,Sedans,10600,55000,70,Used,_Other,0.999,BENZINE,6,1,13,2016.0,Red,4,4,Manual,4.2,5.0,97
59,59,Audi A1,Sedans,10800,99000,66,Used,_Black,1.422,DIESEL,17,3,17,2016.0,Black_,4,4,Manual,3.7,4.2,97
60,60,Audi A1,Compact,9950,118500,70,Used,_Black,0.999,BENZINE,13,3,14,2016.0,Black_,5,4,Manual,4.4,5.2,102
61,61,Audi A1,Sedans,10300,85000,70,Used,_Other,0.999,BENZINE,8,3,12,2016.0,Red,4,5,Manual,4.2,5.0,97
62,62,Audi A1,Sedans,10000,192000,85,Used,_Black,1.598,DIESEL,11,1,14,2016.0,Black_,4,4,Manual,3.9,4.7,102
63,63,Audi A1,Compact,10490,130000,66,Used,_Black,1.422,DIESEL,8,1,12,2016.0,White_,5,4,Manual,3.9,4.3,102
64,64,Audi A1,Compact,18900,41294,71,Used,_Grey,0.999,BENZINE,10,1,11,2016.0,Grey_,5,4,Automatic,4.4,5.4,103
